key,version,english,notes,tag,link
millenium,4.5,"God’s Kingdom begins its 1000-year reign (Revelation 5:9, 10; 20:4, 6)",,text,
great_crowd,4.5,"A great crowd survives Armageddon (Revelation 7:9, 14; Psalm 37:9-11)",,text,
world_population,4.5,World population in billions in the last 2000 years,,text,
khmer_empire_c,4.6,Khmer Empire - Angkor period,,text,
holy_roman_empire_c,4.6,Holy Roman Empire – known as Holy Roman Empire of the German Nation after 1512,,text,
mongol_empire,4.6,Mongol Empire 1206 – 1294,,text,
maya_classic_c,4.6,Maya civilization – Classic period,,text,
maya_postclassic_c,4.6,Maya civilization – Postclassic period,,text,
Teotihuacan,4.6,"Largest city in the Americas, pyramids build c. 200 C.E.",,text,
Dionysius_Exiguus,4.6,"Dionysius Exiguus, inventor of Anno Domini",,text,
Umayyad_c,4.6,Umayyad,,text,
ur3,4.6,Ur III Dynasty 𒋀𒀕𒆠,,text,
hammurabi,4.6,Hammurabi 𒄩𒄠𒈬𒊏𒁉,,text,
Al-Khwarizmi,4.6,al-Khwarizmi writes Al-Jabr (Algebra),,text,
al-azhar,4.6,Al-Azhar University is established in Cairo,,text,
Ibn-Sina,4.6,Ibn Sina or Avicenna,,text,
life-expectancy,4.9,Life expectancy 75 years,,text,
430years_c,5.1,"430 years: Exodus 12:41, Galatians 3:17",2024-12-24,text,
maya_calendar,5.1,"Calculated beginning of Maya calendar August 11, 3114 B.C.E.",2024-12-25,text,
xia-dynasty2,5.1,c. 2070 – c. 1600 BC; Era first alluded during the Western Zhou period,2025-01-02,text,
xia-dynasty2_c,5.1,Xia dynasty in China,,text,
tres_zapotes,5.1,"September 3rd, 32 B.C.E.",2024-12-31,text,
joseph_jacob_reunited,5.1,Joseph and Jacob reunited in Egypt – 1728 B.C.E. (Gen 45:11; 47:9),2025-01-01,text,
king_south_light_c,5.2,King of the South from Daniel 11,2025-02-05,text,
king_north_light_c,5.2,King of the North from Daniel 11,2025-02-05,text,
daniel2_iron_c,5.2,Iron legs from Daniel 2,2025-02-05,text,
argenteus,5.9,Codex Argenteus c. 505,written copy of Wulfila Bible,text,
nguyen_dynasty_c,5.9,Nguyễn,2025-09-20,text,
edo_c,5.9,Edo period in Japan,Edo period (Tokugawa shogunate),text,
meiji_c,5.9,Meiji,2025-09-20,text,
american_civil_war,5.9,American Civil War 1861-1865,"April 12, 1861 to May 26, 1865",text,
aleppo_codex,5.11,Aleppo Codex c. 920,2025-10-03,text,
vandals,5.11,Kingdom of the Vandals and Alans 435 – 534,Vandals 435-534 C.E.,text,
francia,5.11,"c. 481/509 – 843, Merovingian till 751, then Carolingian",Kingdom of the Franks (Regnum Francorum) c. 481/509-843 treaty of Verdun,text,
francia_c,5.11,Kingdom of the Franks,,text,
100_years_war,5.11,Hundred Years’ War 1337 – 1453,1337–1453,text,
black_death,5.11,Black death 1346-1353,1346-1353,text,
sui_dynasty,5.11,581-618 Sui dynasty,2025-11-09,text,
sui_dynasty_c,5.11,Sui,2025-11-09,text,
tribulation,4.5,"The Great Tribulation (Mark 13:19; Daniel 12:1; Matt 24:21, 22)",,text,
Adam,3.1,Adam,Luke 3:38,bible,
Seth,3.1,Seth,Luke 3:38,bible,
Enosh,3.1,Enosh,Luke 3:38,bible,
Kenan,6.01,Kenan (Cainan),"Genesis 5:12, Luke 3:37",bible,
Mahalalel,6.01,Mahalalel (Mahalaleel),"Genesis 5:15, Luke 3:37",bible,
Jared,3.1,Jared,Luke 3:37,bible,
Enoch,3.1,Enoch,Luke 3:37,bible,
Methuselah,3.1,Methuselah,Luke 3:37,bible,
Lamech,3.1,Lamech,Luke 3:36,bible,
Noah,3.1,Noah,Luke 3:36,bible,
Shem,3.1,Shem,Luke 3:36,bible,
Arpachshad,3.1,Arpachshad,Luke 3:36,bible,
Shelah,3.1,Shelah,Luke 3:35,bible,
Eber,3.1,Eber,Luke 3:35,bible,
Peleg,3.1,Peleg,Luke 3:35,bible,
Reu,3.1,Reu,Luke 3:35,bible,
Serug,3.1,Serug,Luke 3:35,bible,
Nahor,3.1,Nahor,"Luke 3:34, Genesis 11:24",bible,
Terah,3.1,Terah,Luke 3:34,bible,
Abraham,3.1,Abraham,Luke 3:34,bible,
Isaac,3.1,Isaac,Luke 3:34,bible,
Jacob,3.1,Jacob,Luke 3:34,bible,
Joseph,3.1,Joseph,Genesis 37,bible,
Moses,3.1,Moses,Exodus 2:10,bible,
Othniel,4.1,Othniel,Judges 3:9-11,bible,
Ehud,4.1,Ehud,Judges 3:15-18,bible,
Shamgar,4.1,Shamgar,Judges 3:31,bible,
Barak,4.1,"Barak, Deborah, Jael",Judges 4:6,bible,
Gideon,4.1,Gideon,Judges 7:1,bible,
Tola,4.1,Tola,Judges 10:1,bible,
Jair,4.1,Jair,Judges 10:3,bible,
Jephthah,4.1,Jephthah,Judges 11:1,bible,
Ibzan,4.1,Ibzan,Judges 12:8,bible,
Elon,4.1,Elon,Judges 12:11,bible,
Abdon,4.1,Abdon,Judges 12:13,bible,
Samson,4.1,Samson,Judges 13:24,bible,
Samuel,4.1,Samuel,1 Samuel 1:20,bible,
Saul,4.1,Saul,1 Samuel 9:2,bible,
David,4.1,David,1 Samuel 16:13,bible,
Solomon,4.1,Solomon,1 Kings 2:1,bible,
Malachi,4.1,Malachi,bible book,bible,
Ruth,4.1,Ruth,bible book,bible,
Ezra,4.1,Ezra,bible book,bible,
Nehemiah,4.1,Nehemiah,bible book,bible,
Esther,4.1,Esther,bible book,bible,
Job,4.1,Job,bible book,bible,
moses3,4.1,Moses,Exodus 2:10,bible,
joshua2,4.1,Joshua,Exodus 17:14,bible,
