key,lang,dict,shaping_engine,script,language,direction,fontname,fontsize,fontsize_AM,y_offset,replace_numerals,language_str,nr,test
mi,Maori,FALSE,,,,ltr,,10,15,0,FALSE,Maori(*** no dictionary yet ***),119,123
mr,Marathi,FALSE,,,,ltr,,10,15,0,FALSE,Marathi(*** no dictionary yet ***),120,124
chm,Meadow Mari,FALSE,,,,ltr,,10,15,0,FALSE,Meadow Mari(*** no dictionary yet ***),121,125
mni-Mtei,Meiteilon (Manipuri),FALSE,,,,ltr,,10,15,0,FALSE,Meiteilon (Manipuri)(*** no dictionary yet ***),122,126
min,Minang,FALSE,,,,ltr,,10,15,0,FALSE,Minang(*** no dictionary yet ***),123,127
lus,Mizo,FALSE,,,,ltr,,10,15,0,FALSE,Mizo(*** no dictionary yet ***),124,128
mn,Mongolian,TRUE,,,,ltr,,10,15,0,FALSE,Mongolian (монгол),125,129
my,Myanmar (Burmese),FALSE,,,,ltr,,10,15,0,FALSE,Myanmar (Burmese)(*** no dictionary yet ***),126,130
nr,Ndebele (South),FALSE,,,,ltr,,10,15,0,FALSE,Ndebele (South)(*** no dictionary yet ***),127,131
new,Nepalbhasa (Newari),FALSE,,,,ltr,,10,15,0,FALSE,Nepalbhasa (Newari)(*** no dictionary yet ***),128,132
ne,Nepali,FALSE,,,,ltr,,10,15,0,FALSE,Nepali(*** no dictionary yet ***),129,133
nso,Northern Sotho (Sepedi),FALSE,,,,ltr,,10,15,0,FALSE,Northern Sotho (Sepedi)(*** no dictionary yet ***),130,134
no,Norwegian,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Norwegian (Norsk) ,131,135
nus,Nuer,FALSE,,,,ltr,,10,15,0,FALSE,Nuer(*** no dictionary yet ***),132,136
ny,Nyanja (Chichewa),FALSE,,,,ltr,,10,15,0,FALSE,Nyanja (Chichewa)(*** no dictionary yet ***),,137
oc,Occitan,FALSE,,,,ltr,,10,15,0,FALSE,Occitan(*** no dictionary yet ***),133,138
or,Odia (Oriya),FALSE,,,,ltr,,10,15,0,FALSE,Odia (Oriya)(*** no dictionary yet ***),134,139
om,Oromo,FALSE,,,,ltr,,10,15,0,FALSE,Oromo(*** no dictionary yet ***),135,140
pag,Pangasinan,FALSE,,,,ltr,,10,15,0,FALSE,Pangasinan(*** no dictionary yet ***),136,141
pap,Papiamento,FALSE,,,,ltr,,10,15,0,FALSE,Papiamento(*** no dictionary yet ***),137,142
ps,Pashto,FALSE,,,,RTL,,10,15,0,FALSE,Pashto(*** no dictionary yet ***),138,143
fa,Persian,TRUE,TRUE,arab,fas,RTL,NotoArabic,9.2,12,1,TRUE,Persian or Farsi (فارسی),139,144
pl,Polish,FALSE,,,,ltr,,10,15,0,FALSE,Polish(*** no dictionary yet ***),140,145
pt,Portugese,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Portugese (Português),141,146
pt-BR,Portuguese (Brazil),FALSE,,,,ltr,,10,15,0,FALSE,Portuguese (Brazil)(*** no dictionary yet ***),142,147
pt-PT,Portuguese (Portugal),FALSE,,,,ltr,,10,15,0,FALSE,Portuguese (Portugal)(*** no dictionary yet ***),143,148
pa,Punjabi,TRUE,TRUE,gurm,pan,ltr,NotoGurmukhi,10,15,0,FALSE,Punjabi (ਪੰਜਾਬੀ),144,149
pa-Arab,Punjabi (Shahmukhi),FALSE,,,,ltr,,10,15,0,FALSE,Punjabi (Shahmukhi)(*** no dictionary yet ***),145,150
qu,Quechua,FALSE,,,,ltr,,10,15,0,FALSE,Quechua(*** no dictionary yet ***),146,151
rom,Romani,FALSE,,,,ltr,,10,15,0,FALSE,Romani(*** no dictionary yet ***),147,152
ro,Romanian,FALSE,,,,ltr,,10,15,0,FALSE,Romanian(*** no dictionary yet ***),148,153
rn,Rundi,FALSE,,,,ltr,,10,15,0,FALSE,Rundi(*** no dictionary yet ***),149,154
ru,Russian,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Russian (Русский) ,150,155
sm,Samoan,FALSE,,,,ltr,,10,15,0,FALSE,Samoan(*** no dictionary yet ***),151,156
sg,Sango,FALSE,,,,ltr,,10,15,0,FALSE,Sango(*** no dictionary yet ***),152,157
sa,Sanskrit,FALSE,,,,ltr,,10,15,0,FALSE,Sanskrit(*** no dictionary yet ***),153,158
gd,Scots Gaelic,FALSE,,,,ltr,,10,15,0,FALSE,Scots Gaelic(*** no dictionary yet ***),154,159
nso,Sepedi,FALSE,,,,ltr,,10,15,0,FALSE,Sepedi(*** no dictionary yet ***),,160
sr,Serbian,FALSE,,,,ltr,,10,15,0,FALSE,Serbian(*** no dictionary yet ***),155,161
st,Sesotho,FALSE,,,,ltr,,10,15,0,FALSE,Sesotho(*** no dictionary yet ***),156,162
crs,Seychellois Creole,FALSE,,,,ltr,,10,15,0,FALSE,Seychellois Creole(*** no dictionary yet ***),157,163
shn,Shan,FALSE,,,,ltr,,10,15,0,FALSE,Shan(*** no dictionary yet ***),158,164
sn,Shona,FALSE,,,,ltr,,10,15,0,FALSE,Shona(*** no dictionary yet ***),159,165
scn,Sicilian,FALSE,,,,ltr,,10,15,0,FALSE,Sicilian(*** no dictionary yet ***),160,166
szl,Silesian,FALSE,,,,ltr,,10,15,0,FALSE,Silesian(*** no dictionary yet ***),161,167
sd,Sindhi,FALSE,,,,ltr,,10,15,0,FALSE,Sindhi(*** no dictionary yet ***),162,168
si,Sinhala (Sinhalese),TRUE,TRUE,sinh,snh,ltr,NotoSinhala,9,14,1,TRUE,Sinhala (සිංහල) ,163,169
sk,Slovak,FALSE,,,,ltr,,10,15,0,FALSE,Slovak(*** no dictionary yet ***),164,170
sl,Slovenian,FALSE,,,,ltr,,10,15,0,FALSE,Slovenian(*** no dictionary yet ***),165,171
so,Somali,FALSE,,,,ltr,,10,15,0,FALSE,Somali(*** no dictionary yet ***),166,172
es,Spanish,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Spanish (Español) ,167,173
su,Sundanese,FALSE,,,,ltr,,10,15,0,FALSE,Sundanese(*** no dictionary yet ***),168,174
sw,Swahili,TRUE,FALSE,,,ltr,,10,15,0,FALSE,Swahili (Kiswahili),169,175
ss,Swati,FALSE,,,,ltr,,10,15,0,FALSE,Swati(*** no dictionary yet ***),170,176
sv,Swedish,FALSE,,,,ltr,,10,15,0,FALSE,Swedish(*** no dictionary yet ***),171,177
tg,Tajik,FALSE,,,,ltr,,10,15,0,FALSE,Tajik(*** no dictionary yet ***),172,178
ta,Tamil,FALSE,,,,ltr,,10,15,0,FALSE,Tamil(*** no dictionary yet ***),173,179
tt,Tatar,FALSE,,,,ltr,,10,15,0,FALSE,Tatar(*** no dictionary yet ***),174,180
te,Telugu,FALSE,,,,ltr,,10,15,0,FALSE,Telugu(*** no dictionary yet ***),175,181
tet,Tetum,FALSE,,,,ltr,,10,15,0,FALSE,Tetum(*** no dictionary yet ***),176,182
th,Thai,TRUE,TRUE,thai,tha,ltr,NotoThaiLooped,10,15,0,FALSE,Thai (ภาษาไทย) ,177,183
ti,Tigrinya,FALSE,,,,ltr,,10,15,0,FALSE,Tigrinya(*** no dictionary yet ***),178,184
ts,Tsonga,FALSE,,,,ltr,,10,15,0,FALSE,Tsonga(*** no dictionary yet ***),179,185
tn,Tswana,FALSE,,,,ltr,,10,15,0,FALSE,Tswana(*** no dictionary yet ***),180,186
tr,Turkish,FALSE,,,,ltr,,10,15,0,FALSE,Turkish(*** no dictionary yet ***),181,187
tk,Turkmen,FALSE,,,,ltr,,10,15,0,FALSE,Turkmen(*** no dictionary yet ***),182,188
